symbol,trade_date,exchange,segment,trade_type,quantity,price,order_id,order_execution_time,strike_price,expiry_date,options_type,assets_type,entry_date,entry_time,exit_date,exit_time,breakeven_point,avg_buy_price,avg_sell_price,net_pnl,status,roi
IOC,2022-09-21,NSE,EQ,sell,1100.0,68.9,1100000016576178,12:56:00,,,,cash,2022-09-21,11:25:07,2022-09-21,12:56:00,3,68.9,68.84999999999998,55.0,0,0.0007
GRANULES,2022-03-14,NSE,EQ,sell,800.0,303.7,1100000009367987,11:14:03,,,,cash,2022-03-14,09:07:29,2022-03-14,11:14:03,4,305.099875,310.2,-4080.1,1,-0.0164
GRANULES,2022-05-30,NSE,EQ,sell,2360.0,271.2,1100000001037900,09:21:08,,,,cash,2022-05-30,09:15:00,2022-05-30,09:21:08,2,271.2,267.3,9204.0,0,0.0146
GRANULES,2022-08-03,NSE,EQ,sell,1000.0,314.4,1100000001360693,09:32:03,,,,cash,2022-08-03,09:21:15,2022-08-03,09:32:03,2,314.4,317.95,-3550.0,1,-0.0112
GRANULES,2022-08-18,NSE,EQ,sell,2500.0,324.15,1100000001715728,09:57:25,,,,cash,2022-08-18,09:07:40,2022-08-18,09:57:25,2,324.15,327.4,-8125.0,1,-0.0099
GRANULES,2022-09-19,NSE,EQ,sell,400.0,322.6,1100000008003882,10:27:29,,,,cash,2022-09-19,10:20:53,2022-09-19,10:27:29,3,322.775,325.75,-1190.0,1,-0.0091
GRANULES,2022-09-27,NSE,EQ,sell,1200.0,315.9,1100000021460401,14:27:57,,,,cash,2022-09-27,13:19:55,2022-09-27,14:27:57,5,316.19166666666666,318.73333333333335,-3050.0,1,-0.008
GRANULES,2022-09-30,NSE,EQ,sell,498.0,332.25,1100000003216073,09:35:03,,,,cash,2022-09-30,09:32:43,2022-09-30,09:35:03,5,332.6516064257028,334.83935742971886,-1089.5,1,-0.0065
GRANULES,2022-09-30,NSE,EQ,sell,1500.0,334.4,1100000008852089,10:44:26,,,,cash,2022-09-30,09:37:48,2022-09-30,10:44:26,14,334.54,335.67533333333336,-1703.0,1,-0.0034
GRANULES,2022-09-30,NSE,EQ,sell,2100.0,343.9,1100000017249745,12:31:19,,,,cash,2022-09-30,11:10:39,2022-09-30,12:31:19,12,342.6904761904762,340.28333333333336,5055.0,0,0.0071
GRANULES,2022-10-03,BSE,EQ,sell,1000.0,351.4,1664767800061083161,09:30:28,,,,cash,2022-10-03,09:18:57,2022-10-03,09:30:28,8,352.87,354.53,-1660.0,1,-0.0047
GRANULES,2022-10-03,BSE,EQ,sell,400.0,351.2,1664767800061141049,09:39:37,,,,cash,2022-10-03,09:32:16,2022-10-03,09:39:37,4,351.775,353.675,-760.0,1,-0.0054
GRANULES,2022-10-03,BSE,EQ,sell,1300.0,357.35,1664767800061332619,10:45:04,,,,cash,2022-10-03,10:22:23,2022-10-03,10:45:04,6,358.2730769230769,354.37692307692305,5065.0,0,0.011
GRANULES,2022-10-03,NSE,EQ,sell,800.0,353.4,1100000009576125,12:41:38,,,,cash,2022-10-03,10:46:32,2022-10-03,12:41:38,6,353.8,357.075,-2620.0,1,-0.0092
GRANULES,2022-10-21,NSE,EQ,sell,300.0,348.1,1100000007699425,10:34:01,,,,cash,2022-10-21,09:07:27,2022-10-21,10:34:01,2,348.1,350.85,-825.0,1,-0.0078
