symbol,trade_date,exchange,segment,trade_type,quantity,price,order_id,order_execution_time,strike_price,expiry_date,options_type,assets_type
RAIN,2022-03-28,NSE,EQ,sell,200.0,205.25,1300000000767694,09:18:51,,,,cash
ATUL,2022-03-28,NSE,EQ,buy,1.0,10011.75,1000000000727236,09:19:04,,,,cash
RAIN,2022-03-28,NSE,EQ,buy,800.0,202.85,1300000001195636,09:22:49,,,,cash
ATUL,2022-03-28,NSE,EQ,buy,2.0,10008.0,1000000001210795,09:23:12,,,,cash
CUMMINSIND,2022-03-29,NSE,EQ,sell,180.0,1114.95,1000000000024909,09:07:21,,,,cash
CUMMINSIND,2022-03-29,NSE,EQ,buy,180.0,1102.6,1000000001316260,09:23:57,,,,cash
ACC,2022-03-30,NSE,EQ,sell,30.0,2140.0,1000000000030851,09:07:18,,,,cash
CHAMBLFERT,2022-03-30,NSE,EQ,sell,443.0,428.05,1000000000030826,09:07:18,,,,cash
IPCALAB,2022-03-30,NSE,EQ,sell,170.0,1064.85,1100000000039469,09:07:18,,,,cash
IPCALAB,2022-03-30,NSE,EQ,buy,1.0,1055.0,1100000000928086,09:24:21,,,,cash
IPCALAB,2022-03-30,NSE,EQ,buy,169.0,1053.1,1100000001650820,09:26:17,,,,cash
CHAMBLFERT,2022-03-30,NSE,EQ,buy,1.0,424.6,1000000000875605,09:27:28,,,,cash
ACC,2022-03-30,NSE,EQ,buy,1.0,2166.65,1000000001241179,09:35:22,,,,cash
CHAMBLFERT,2022-03-30,NSE,EQ,buy,442.0,423.5,1000000001860222,10:18:47,,,,cash
ACC,2022-03-30,NSE,EQ,buy,29.0,2172.65,1000000002455648,10:46:18,,,,cash
TATACOMM,2022-03-31,NSE,EQ,sell,140.0,1223.0,1300000010276617,11:58:01,,,,cash
TATACOMM,2022-03-31,NSE,EQ,buy,30.0,1224.9,1300000010310836,11:58:43,,,,cash
TATACOMM,2022-03-31,NSE,EQ,buy,110.0,1226.5,1300000010417755,12:16:12,,,,cash
HAL,2022-04-01,NSE,EQ,sell,200.0,1492.0,1100000000042302,09:07:42,,,,cash
PAGEIND,2022-04-01,NSE,EQ,sell,2.0,43189.4,1200000000034142,09:15:01,,,,cash
PAGEIND,2022-04-01,NSE,EQ,sell,1.0,43189.4,1200000000039016,09:15:01,,,,cash
INTELLECT,2022-04-01,NSE,EQ,sell,10.0,945.8,1100000000051393,09:15:02,,,,cash
INTELLECT,2022-04-01,NSE,EQ,buy,10.0,931.7,1100000000495001,09:16:50,,,,cash
MARICO,2022-04-01,NSE,EQ,sell,20.0,507.8,1200000000676566,09:19:08,,,,cash
MARICO,2022-04-01,NSE,EQ,buy,20.0,508.25,1200000001242851,09:23:38,,,,cash
HAL,2022-04-01,NSE,EQ,buy,200.0,1525.0,1100000002608497,09:37:30,,,,cash
PAGEIND,2022-04-01,NSE,EQ,sell,2.0,43010.65,1200000002707013,09:39:52,,,,cash
PAGEIND,2022-04-01,NSE,EQ,buy,2.0,42916.0,1200000008178575,11:16:30,,,,cash
ROUTE,2022-04-01,NSE,EQ,sell,10.0,1563.0,1300000014277127,13:38:52,,,,cash
PAGEIND,2022-04-01,NSE,EQ,buy,3.0,43224.9,1200000008910727,15:17:31,,,,cash
INDIACEM,2022-04-04,NSE,EQ,sell,200.0,220.75,1100000000076910,09:07:41,,,,cash
INDIACEM,2022-04-04,NSE,EQ,sell,320.0,220.25,1100000001105891,09:18:58,,,,cash
INDIACEM,2022-04-04,NSE,EQ,buy,520.0,218.8,1100000002106322,09:31:01,,,,cash
HAL,2022-04-04,NSE,EQ,sell,250.0,1565.0,1100000013516033,11:43:18,,,,cash
HAL,2022-04-04,NSE,EQ,buy,250.0,1575.65,1100000013706437,11:51:09,,,,cash
ADANIPORTS,2022-04-05,NSE,EQ,sell,283.0,840.0,1000000000029547,09:07:04,,,,cash
GSPL,2022-04-05,NSE,EQ,sell,842.0,278.0,1100000000036868,09:07:04,,,,cash
GSPL,2022-04-05,NSE,EQ,buy,233.0,275.45,1100000000367396,09:22:37,,,,cash
ADANIPORTS,2022-04-05,NSE,EQ,sell,100.0,840.0,1000000001983309,09:29:17,,,,cash
ADANIPORTS,2022-04-05,NSE,EQ,buy,283.0,832.0,1000000000309658,09:38:28,,,,cash
ADANIPORTS,2022-04-05,NSE,EQ,buy,100.0,832.5,1000000002885442,09:39:08,,,,cash
GSPL,2022-04-05,NSE,EQ,sell,350.0,280.5,1100000003827815,09:41:12,,,,cash
GSPL,2022-04-05,NSE,EQ,buy,959.0,281.1,1100000003979096,09:42:59,,,,cash
INDIAMART,2022-04-06,NSE,EQ,sell,47.0,5069.8,1100000000058044,09:07:26,,,,cash
INDIAMART,2022-04-06,NSE,EQ,buy,47.0,5019.6,1100000000261373,09:15:38,,,,cash
TATACOMM,2022-04-08,NSE,EQ,sell,100.0,1360.0,1300000000071500,09:07:13,,,,cash
TATACOMM,2022-04-08,NSE,EQ,sell,200.0,1360.0,1300000000067084,09:07:13,,,,cash
TATACOMM,2022-04-08,NSE,EQ,buy,300.0,1344.7,1300000000492431,09:15:45,,,,cash
AMBUJACEM,2022-04-11,NSE,EQ,sell,400.0,338.45,1000000000038343,09:07:32,,,,cash
SYNGENE,2022-04-11,NSE,EQ,sell,545.0,654.8,1300000000066976,09:07:32,,,,cash
SYNGENE,2022-04-11,NSE,EQ,buy,100.0,675.45,1300000001788247,09:24:11,,,,cash
AMBUJACEM,2022-04-11,NSE,EQ,buy,400.0,345.5,1000000001899535,09:28:55,,,,cash
SYNGENE,2022-04-11,NSE,EQ,buy,445.0,665.0,1300000020984871,15:20:58,,,,cash
OBEROIRLTY,2022-04-12,NSE,EQ,sell,140.0,1003.5,1200000000085201,09:07:35,,,,cash
AMBUJACEM,2022-04-12,NSE,EQ,sell,870.0,364.25,1000000000010265,09:15:00,,,,cash
OBEROIRLTY,2022-04-12,NSE,EQ,buy,1.0,993.7,1200000000757633,09:21:45,,,,cash
OBEROIRLTY,2022-04-12,NSE,EQ,buy,139.0,990.8,1200000001277424,09:22:33,,,,cash
AMBUJACEM,2022-04-12,NSE,EQ,buy,870.0,359.9,1000000002141677,09:34:59,,,,cash
