,symbol,trade_date,exchange,segment,trade_type,quantity,price,order_id,order_execution_time,strike_price,expiry_date,options_type,assets_type
68,HAL,2022-03-17,NSE,EQ,buy,80.0,1464.0,1100000001699868,2022-03-17T11:19:53,,,,cash
69,RPOWER,2022-03-17,NSE,EQ,sell,931.0,14.2,1300000011310181,2022-03-17T14:05:46,,,,cash
70,COROMANDEL,2022-03-21,NSE,EQ,sell,200.0,853.0,1000000000040084,2022-03-21T09:07:30,,,,cash
71,TRENT,2022-03-21,NSE,EQ,sell,50.0,1282.0,1300000000053894,2022-03-21T09:07:30,,,,cash
72,TRENT,2022-03-21,NSE,EQ,sell,50.0,1282.0,1300000000054400,2022-03-21T09:07:30,,,,cash
73,TRENT,2022-03-21,NSE,EQ,buy,100.0,1262.5,1300000000924865,2022-03-21T09:18:41,,,,cash
74,COROMANDEL,2022-03-21,NSE,EQ,sell,50.0,857.0,1000000001908685,2022-03-21T09:28:25,,,,cash
75,COROMANDEL,2022-03-21,NSE,EQ,buy,250.0,850.6,1000000002234333,2022-03-21T09:33:10,,,,cash
76,CUMMINSIND,2022-03-22,NSE,EQ,sell,110.0,1059.3,1000000000025668,2022-03-22T09:07:12,,,,cash
77,INTELLECT,2022-03-22,NSE,EQ,sell,160.0,808.1,1100000000025306,2022-03-22T09:15:00,,,,cash
78,CHAMBLFERT,2022-03-22,NSE,EQ,sell,270.0,434.0,1000000000025662,2022-03-22T09:15:36,,,,cash
79,CUMMINSIND,2022-03-22,NSE,EQ,buy,110.0,1045.5,1000000000545653,2022-03-22T09:18:16,,,,cash
80,CHAMBLFERT,2022-03-22,NSE,EQ,sell,100.0,439.35,1000000000881177,2022-03-22T09:20:51,,,,cash
81,INTELLECT,2022-03-22,NSE,EQ,buy,160.0,800.6,1100000002175804,2022-03-22T09:30:15,,,,cash
82,CHAMBLFERT,2022-03-22,NSE,EQ,buy,50.0,431.4,1000000002769550,2022-03-22T10:17:27,,,,cash
83,CHAMBLFERT,2022-03-22,NSE,EQ,buy,320.0,428.8,1000000010636863,2022-03-22T12:21:47,,,,cash
84,IOC,2022-03-23,NSE,EQ,sell,1100.0,121.85,1100000000051365,2022-03-23T09:07:43,,,,cash
85,RAIN,2022-03-23,NSE,EQ,sell,416.0,195.0,1300000000059907,2022-03-23T09:07:43,,,,cash
86,IOC,2022-03-23,NSE,EQ,sell,500.0,122.8,1100000000663628,2022-03-23T09:17:47,,,,cash
87,RAIN,2022-03-23,NSE,EQ,sell,200.0,196.2,1300000001066342,2022-03-23T09:20:29,,,,cash
88,IOC,2022-03-23,NSE,EQ,buy,1600.0,121.25,1100000001224465,2022-03-23T09:22:03,,,,cash
89,RAIN,2022-03-23,NSE,EQ,buy,616.0,193.65,1300000001611389,2022-03-23T09:25:11,,,,cash
