symbol,tradeDate,exchange,quantity,price,executionTime,strikePrice,expiryDate,optionsType,tradeType,assetType,id,tradeId
MCX,2022-07-01,NSE,100,1298.62,10:05:34,,,,buy,cash,9eb306d5ff0c5409608862c813c6dca9,9c0cbce6931e4d61f4305dd5d488fd5e
BOSCHLTD,2022-07-04,NSE,40,15686.3,09:15:18,,,,sell,cash,3ab3359193519563c52229c7501db239,fb8b7427f79c9db49ca7fe125a7ead44
BOSCHLTD,2022-07-04,NSE,40,15714.25,09:21:14,,,,buy,cash,a66c1aa9478ed11a7040ab0dd4b80715,fb8b7427f79c9db49ca7fe125a7ead44
MANAPPURAM,2022-07-04,NSE,625,91.15,10:49:33,,,,buy,cash,257ddf0e3be55140920bb0273783eb40,c0ce540a222bd79269dbec0e5e93d14e
MANAPPURAM,2022-07-04,NSE,625,90.45,12:15:49,,,,sell,cash,87308a3c8963439a1e84f979f3b14711,c0ce540a222bd79269dbec0e5e93d14e
SIEMENS,2022-07-07,NSE,130,2655.0,09:07:21,,,,sell,cash,a7cb7011e64e9b53d4addfa8aaaef4ce,e622a1f1444cbbca8bdb31eeed467768
SIEMENS,2022-07-07,NSE,130,2643.35,09:49:00,,,,buy,cash,b577e795285c6d3664d15a72d54fb250,e622a1f1444cbbca8bdb31eeed467768
NAM-INDIA,2022-07-11,NSE,500,299.77009999999996,13:16:07,,,,sell,cash,c1d0366606a2a7d020a9ccf29477790d,27cff571ce88412b8741d454a38230e0
NAM-INDIA,2022-07-11,NSE,500,301.0,13:18:52,,,,buy,cash,87253008f69073762874a5706c57b2c0,27cff571ce88412b8741d454a38230e0
NAM-INDIA,2022-07-11,NSE,1000,297.73975,13:45:29,,,,sell,cash,fc275be9b64750b3787d4935ae514b3c,4801b39d008824f55a3b00844189af8e
NAM-INDIA,2022-07-11,NSE,1000,299.8999999999999,15:18:43,,,,buy,cash,0188fdcbd25e2f36fd5b5f9b043fdedf,4801b39d008824f55a3b00844189af8e
SYNGENE,2022-07-14,NSE,370,595.0,09:07:06,,,,sell,cash,6b05457ec5ed7c37e630e6f918d7bd7b,f4e5cf08a7863c3d7bc7cfcd63f152dc
SYNGENE,2022-07-14,NSE,370,601.7605405405405,09:25:45,,,,buy,cash,c71427c527cbdbf54cc5742b915a6687,f4e5cf08a7863c3d7bc7cfcd63f152dc
PERSISTENT,2022-07-21,NSE,59,3515.0,09:07:40,,,,sell,cash,446d6bebf61e401afc588edaa591d7f2,29e01d35dad12afaf62dd1826dc7a76b
PERSISTENT,2022-07-21,NSE,59,3471.0,09:17:28,,,,buy,cash,9792dd6f269b1c2996a6f1d9379aa4a7,29e01d35dad12afaf62dd1826dc7a76b
PERSISTENT,2022-07-21,NSE,22,3552.609090909091,09:54:18,,,,sell,cash,a9b07f818e331859d6eccf979ac2ab4b,b035a5e6986d720cdd9cadc489c1e009
PERSISTENT,2022-07-21,NSE,22,3570.968181818181,10:17:54,,,,buy,cash,17d6701cba4f50aff281888e7af523f4,b035a5e6986d720cdd9cadc489c1e009
AARTIIND,2022-07-22,NSE,350,781.2,09:07:52,,,,sell,cash,079ae8b0f09daa519c384c012478d7e7,0b8556c3e6f1bbbf88a8c4590492eef5
AARTIIND,2022-07-22,NSE,350,771.55,09:40:50,,,,buy,cash,1f9ed8ed344c284d4e1ef723f7743c92,0b8556c3e6f1bbbf88a8c4590492eef5
AARTIIND,2022-07-22,NSE,1,766.4,12:05:25,,,,sell,cash,b6014d4b965c0628b559a61d78c2308b,23de0eab17691cf3653909638a55f372
